Company Name,Channel Type,Cover Type,Duration_bucket,Value
AIA Australia Limited,Individual Non-Advised,CCI,0-2 weeks,50.3
AIA Australia Limited,Individual Non-Advised,CCI,> 6 months to 12 months,2.8
AIA Australia Limited,Individual Non-Advised,CCI,> 2 weeks to 2 months,36.8
AIA Australia Limited,Individual Non-Advised,CCI,> 2 months to 6 months,9.7
AIA Australia Limited,Individual Non-Advised,CCI,> 12 months,0.3
AIA Australia Limited,Individual Non-Advised,Funeral,0-2 weeks,96.1
AIA Australia Limited,Individual Non-Advised,Funeral,> 6 months to 12 months,0.0
AIA Australia Limited,Individual Non-Advised,Funeral,> 2 weeks to 2 months,2.9
AIA Australia Limited,Individual Non-Advised,Funeral,> 2 months to 6 months,1.0
AIA Australia Limited,Individual Non-Advised,Funeral,> 12 months,0.0
AIA Australia Limited,Individual Advised,Death,0-2 weeks,59.5
AIA Australia Limited,Individual Advised,Death,> 6 months to 12 months,1.1
AIA Australia Limited,Individual Advised,Death,> 2 weeks to 2 months,30.5
AIA Australia Limited,Individual Advised,Death,> 2 months to 6 months,8.0
AIA Australia Limited,Individual Advised,Death,> 12 months,0.9
AIA Australia Limited,Individual Advised,DII,0-2 weeks,36.2
AIA Australia Limited,Individual Advised,DII,> 6 months to 12 months,2.5
AIA Australia Limited,Individual Advised,DII,> 2 weeks to 2 months,51.1
AIA Australia Limited,Individual Advised,DII,> 2 months to 6 months,9.4
AIA Australia Limited,Individual Advised,DII,> 12 months,0.8
AIA Australia Limited,Individual Advised,TPD,0-2 weeks,3.6
AIA Australia Limited,Individual Advised,TPD,> 6 months to 12 months,34.0
AIA Australia Limited,Individual Advised,TPD,> 2 weeks to 2 months,10.8
AIA Australia Limited,Individual Advised,TPD,> 2 months to 6 months,34.5
AIA Australia Limited,Individual Advised,TPD,> 12 months,17.0
AIA Australia Limited,Individual Advised,Trauma,0-2 weeks,44.2
AIA Australia Limited,Individual Advised,Trauma,> 6 months to 12 months,1.7
AIA Australia Limited,Individual Advised,Trauma,> 2 weeks to 2 months,40.9
AIA Australia Limited,Individual Advised,Trauma,> 2 months to 6 months,12.1
AIA Australia Limited,Individual Advised,Trauma,> 12 months,1.1
AIA Australia Limited,Group Super,Death,0-2 weeks,65.3
AIA Australia Limited,Group Super,Death,> 6 months to 12 months,1.7
AIA Australia Limited,Group Super,Death,> 2 weeks to 2 months,24.4
AIA Australia Limited,Group Super,Death,> 2 months to 6 months,8.1
AIA Australia Limited,Group Super,Death,> 12 months,0.5
AIA Australia Limited,Group Super,DII,0-2 weeks,18.7
AIA Australia Limited,Group Super,DII,> 6 months to 12 months,8.6
AIA Australia Limited,Group Super,DII,> 2 weeks to 2 months,49.9
AIA Australia Limited,Group Super,DII,> 2 months to 6 months,19.9
AIA Australia Limited,Group Super,DII,> 12 months,2.8
AIA Australia Limited,Group Super,TPD,0-2 weeks,6.1
AIA Australia Limited,Group Super,TPD,> 6 months to 12 months,17.3
AIA Australia Limited,Group Super,TPD,> 2 weeks to 2 months,12.6
AIA Australia Limited,Group Super,TPD,> 2 months to 6 months,55.9
AIA Australia Limited,Group Super,TPD,> 12 months,8.1
AIA Australia Limited,Group Ordinary,Death,0-2 weeks,91.0
AIA Australia Limited,Group Ordinary,Death,> 6 months to 12 months,0.1
AIA Australia Limited,Group Ordinary,Death,> 2 weeks to 2 months,6.8
AIA Australia Limited,Group Ordinary,Death,> 2 months to 6 months,1.9
AIA Australia Limited,Group Ordinary,Death,> 12 months,0.1
AIA Australia Limited,Group Ordinary,DII,0-2 weeks,31.8
AIA Australia Limited,Group Ordinary,DII,> 6 months to 12 months,2.7
AIA Australia Limited,Group Ordinary,DII,> 2 weeks to 2 months,45.6
AIA Australia Limited,Group Ordinary,DII,> 2 months to 6 months,18.6
AIA Australia Limited,Group Ordinary,DII,> 12 months,1.2
Allianz Australia Life Insurance Limited,Individual Non-Advised,Accident,0-2 weeks,0.0
Allianz Australia Life Insurance Limited,Individual Non-Advised,Accident,> 6 months to 12 months,0.0
Allianz Australia Life Insurance Limited,Individual Non-Advised,Accident,> 2 weeks to 2 months,0.0
Allianz Australia Life Insurance Limited,Individual Non-Advised,Accident,> 2 months to 6 months,0.0
Allianz Australia Life Insurance Limited,Individual Non-Advised,Accident,> 12 months,0.0
ClearView Life Assurance Limited,Individual Non-Advised,Death,0-2 weeks,4.2
ClearView Life Assurance Limited,Individual Non-Advised,Death,> 6 months to 12 months,4.2
ClearView Life Assurance Limited,Individual Non-Advised,Death,> 2 weeks to 2 months,43.1
ClearView Life Assurance Limited,Individual Non-Advised,Death,> 2 months to 6 months,40.3
ClearView Life Assurance Limited,Individual Non-Advised,Death,> 12 months,8.3
ClearView Life Assurance Limited,Individual Advised,DII,0-2 weeks,36.4
ClearView Life Assurance Limited,Individual Advised,DII,> 6 months to 12 months,2.8
ClearView Life Assurance Limited,Individual Advised,DII,> 2 weeks to 2 months,41.8
ClearView Life Assurance Limited,Individual Advised,DII,> 2 months to 6 months,16.8
ClearView Life Assurance Limited,Individual Advised,DII,> 12 months,2.3
ClearView Life Assurance Limited,Individual Advised,Trauma,0-2 weeks,38.4
ClearView Life Assurance Limited,Individual Advised,Trauma,> 6 months to 12 months,2.9
ClearView Life Assurance Limited,Individual Advised,Trauma,> 2 weeks to 2 months,45.7
ClearView Life Assurance Limited,Individual Advised,Trauma,> 2 months to 6 months,12.3
ClearView Life Assurance Limited,Individual Advised,Trauma,> 12 months,0.7
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,Accident,0-2 weeks,88.6
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,Accident,> 6 months to 12 months,0.1
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,Accident,> 2 weeks to 2 months,9.1
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,Accident,> 2 months to 6 months,1.9
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,Accident,> 12 months,0.3
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,DII,0-2 weeks,27.8
